tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-reproductive-condition,animal-sex,animal-taxon-detail,attachment-type,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,study-site,tag-beacon-frequency,tag-manufacturer-name,tag-model,tag-serial-no
car038,QU_car038,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Suspected predation,,pregnant: Yes; with calf: N,f,caribou,collar,55.13667472,-121.3596321,54.91675535,-121.5044565,EJ/GW/BB,,,dead,car038_car038,none,Quintette,148.331,,VHF,
car037,QU_car037,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Found 50m from TREND open pit mine.  Area littered with rock from blasts from the mine.,,pregnant: Yes; with calf: N,f,caribou,collar,54.88449017,-120.9459692,54.87151888,-120.9613893,EJ/GW/BB,,,dead,car037_car037,none,Quintette,148.319,,VHF,
car036,QU_car036,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on Telemetry. cod Unknown.  Collar inaccessible and still in field.,,pregnant: Yes; with calf: Y,f,caribou,collar,54.8121116,-121.0757684,54.87151888,-120.9613893,EJ/GW/BB,,,dead,car036_car036,none,Quintette,148.31,,VHF,
car041,QU_car041,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.13332455,-121.3833312,,,,removal,car041_car041,none,Quintette,148.358,ATS,GPS,
car043,BP_car043,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.37099082,-122.2005993,,,,removal,car043_car043,none,Burnt Pine,148.13,ATS,GPS,
car040,QU_car040,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.13332455,-121.3833312,,,,removal,car040_car040,none,Quintette,148.438,ATS,GPS,
car044,KE_car044,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.28654828,-122.6136143,,,,removal,car044_car044,none,Kennedy,148.38,ATS,GPS,
car042,QU_car042,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.13332455,-121.3833312,,,,removal,car042_car042,none,Quintette,148.65,ATS,GPS,
car046,QU_car046,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.87210202,-121.0139327,,,,removal,car046_car046,none,Quintette,148.777,ATS,GPS,
car045,QU_car045,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.87210202,-121.0139327,,,,removal,car045_car045,none,Quintette,148.39,ATS,GPS,
car047,KE_car047,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected predation,,,f,caribou,collar,55.13353496,-122.7988091,,,DH/GW,,,dead,car047_car047,none,Kennedy,148.519,ATS,GPS,
car048,KE_car048,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,,,DH/GW,,,removal,car048_car048,none,Kennedy,148.096,ATS,GPS,
car050,KE_car050,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,,,DH/GW,,,removal,car050_car050,none,Kennedy,148.398,ATS,GPS,
car049,KE_car049,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,,,DH/GW,,,removal,car049_car049,none,Kennedy,148.367,ATS,GPS,
car051,KE_car051,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,,,DH/GW,,,removal,car051_car051,none,Kennedy,148.41,ATS,GPS,
car052,MO_car052,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown,,,f,caribou,collar,55.81758294,-122.6329781,55.88574219,-122.4701474,,,,dead,car052_car052,none,Moberly,148.12,ATS,GPS,
car053,KE_car053,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.47559924,-122.3824952,,,,removal,car053_car053,none,Kennedy,148.761,ATS,GPS,
car056,NA_car056,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown,,,f,caribou,collar,55.07521916,-119.8034758,55.10098519,-120.4629697,BC/DC,,,dead,car056_car056,none,Narraway,148.209,ATS,GPS,
car055,NA_car055,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Predation - Wolf,,,m,caribou,collar,55.06577302,-120.6386488,55.03074459,-120.59541,BC/DC,,,dead,car055_car055,none,Narraway,148.228,ATS,GPS,
car054,NA_car054,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown,,,f,caribou,collar,54.61526976,-120.704339,55.02907353,-120.6073092,BC/DC,,,dead,car054_car054,none,Narraway,148.191,ATS,GPS,
car060,QU_car060,Rangifer tarandus,00:00.0,,,,,f,caribou,collar,,,54.84444491,-121.0255249,,,Lost,other,car060_car060,none,Quintette,150.539,ATS,GPS,
car057,QU_car057,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.86347588,-120.8688407,,,,removal,car057_car057,none,Quintette,150.69,ATS,GPS,
car059,QU_car059,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.85090893,-121.0272655,,,,removal,car059_car059,none,Quintette,150.559,ATS,GPS,
car058,QU_car058,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,54.86184041,-120.8775911,,,,removal,car058_car058,none,Quintette,150.658,ATS,GPS,
car061,KE_car061,Rangifer tarandus,00:00.0,59:00.0,time/place of death based on GPS. cod Unknown.  Suspected wolf (or possibly wolverine) predation,,,f,caribou,collar,55.19950918,-122.4380599,55.25288041,-122.6145703,,,,dead,car061_car061,none,Kennedy,148.08,ATS,GPS,
car065,KE_car065,Rangifer tarandus,00:00.0,59:00.0,,,,f,caribou,collar,,,55.25288041,-122.6145703,,,,removal,car065_car065,none,Kennedy,148.04,ATS,GPS,
