"location.long","location.lat","comments","tag.local.identifier","animal.id","animal.sex","animal.reproductive.condition","tag.manufacturer.name","tag.model","date_time","year","month","day","hour","minute"
-123.3995852,55.77464573,"Scott","car169","SC_car169","f","with calf: N","ATS","GPS Iridium",2013-06-01 18:02:00,2013,6,1,18,2
-123.3992145,55.83660964,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-17 12:00:26,2013,2,17,12,0
-123.3991176,55.86611749,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-07 07:00:42,2013,3,7,7,0
-123.3967043,55.86136312,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-21 21:00:48,2013,3,21,21,0
-123.3958619,55.84765436,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-23 15:01:17,2013,2,23,15,1
-123.3945018,55.83163801,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-02-15 11:00:44,2013,2,15,11,0
-123.3937051,55.86180404,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-20 10:01:11,2013,3,20,10,1
-123.3936655,55.86104941,"Scott","car168","SC_car168","f","with calf: N","ATS","GPS Iridium",2014-12-07 10:01:00,2014,12,7,10,1
-123.3933168,55.66658916,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-07 03:00:26,2012,11,7,3,0
-123.3926288,55.66773253,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2012-11-09 18:00:26,2012,11,9,18,0
-123.3926175,55.86802529,"Burnt Pine","car145","BP_car145","f","with calf: N","Lotek","GPS Iridium",2013-03-01 18:00:42,2013,3,1,18,0
